Type,Region,Name,Data Type,Price(USD),Variant Price,Code,GBs,Validity(Days),Slug,Coverage,ID,Billing starts,Pre-Install Days,Speed,Support TopUp Type,Breakout IP,APN,FUP policy,Operator Networks
Single,Andorra,Andorra 3GB 30Days,Data in Total,$5.96,$17.88,AD,3,30,AD_3_30,AD,P6PTLNQKG,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,Mobiland [5G]
Single,Andorra,Andorra 500MB/Day,Daily Unlimited,$1.20,$3.60,AD,0,1,AD_0.5_Daily,AD,PZL8D71CV,First Network Connection,180,3G/4G/5G,Non-reloadable,UK,plus,512 Kbps,Mobiland [5G]
Single,Andorra,Andorra 5GB 30Days,Data in Total,$9.35,$28.05,AD,5,30,AD_5_30,AD,PU43QJFLK,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,Mobiland [5G]
Single,Anguilla,Anguilla 10GB 30Days,Data in Total,$41.66,$124.98,AI,10,30,AI_10_30,AI,PEUQVTLSB,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Anguilla,Anguilla 1GB 7Days,Data in Total,$5.14,$15.42,AI,1,7,AI_1_7,AI,PE3R2NYQX,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Anguilla,Anguilla 1GB/Day,Daily Unlimited,$4.85,$14.55,AI,1,1,AI_1_Daily,AI,PM9T984L1,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,FLOW [4G]
Single,Anguilla,Anguilla 20GB 30Days,Data in Total,$76.47,$229.41,AI,20,30,AI_20_30,AI,P8GAESAYL,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Anguilla,Anguilla 2GB/Day,Daily Unlimited,$9.13,$27.39,AI,2,1,AI_2_Daily,AI,P5PSSTDWD,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,FLOW [4G]
Single,Anguilla,Anguilla 3GB 15Days,Data in Total,$13.70,$41.10,AI,3,15,AI_3_15,AI,P2ECNC4CU,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Anguilla,Anguilla 3GB 30Days,Data in Total,$13.70,$41.10,AI,3,30,AI_3_30,AI,PEG44RAO5,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Anguilla,Anguilla 500MB/Day,Daily Unlimited,$3.00,$9.00,AI,0,1,AI_0.5_Daily,AI,POZVUBHGO,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,FLOW [4G]
Single,Anguilla,Anguilla 5GB 30Days,Data in Total,$22.83,$68.49,AI,5,30,AI_5_30,AI,P0NWS57PC,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 10GB 30Days,Data in Total,$45.68,$137.04,AG,10,30,AG_10_30,AG,PMCFR1TVV,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 1GB 7Days,Data in Total,$5.63,$16.89,AG,1,7,AG_1_7,AG,PPWK55U51,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 1GB/Day,Daily Unlimited,$5.39,$16.17,AG,1,1,AG_1_Daily,AG,PWHDQF6J6,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 20GB 30Days,Data in Total,$87.60,$262.80,AG,20,30,AG_20_30,AG,PQY7SKU59,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 2GB/Day,Daily Unlimited,$9.43,$28.29,AG,2,1,AG_2_Daily,AG,PJRL9FTHQ,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 3GB 15Days,Data in Total,$15.02,$45.06,AG,3,15,AG_3_15,AG,PLT3KKIDO,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 3GB 30Days,Data in Total,$15.96,$47.88,AG,3,30,AG_3_30,AG,P8PU77FZP,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 500MB/Day,Daily Unlimited,$3.50,$10.50,AG,0,1,AG_0.5_Daily,AG,PAX4QEO8E,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,FLOW [4G]
Single,Antigua and Barbuda,Antigua and Barbuda 5GB 30Days,Data in Total,$25.03,$75.09,AG,5,30,AG_5_30,AG,PSUM1WZK9,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Argentina,Argentina 100MB 7Days,Data in Total,$0.46,$1.38,AR,0,7,AR_0.1_7,AR,PHDE7ZP42,First Installation,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,"Movistar [4G], Claro [4G]"
Single,Argentina,Argentina 10GB/Day,Daily Unlimited,$12.01,$36.03,AR,10,1,AR_10_Daily,AR,PAZXEITEZ,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,384 Kbps,"Movistar [4G], Claro [4G]"
Single,Argentina,Argentina 1GB/Day,Daily Unlimited,$1.80,$5.40,AR,1,1,AR_1_Daily,AR,P0VDPD9F2,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,"Movistar [4G], Claro [4G]"
Single,Argentina,Argentina 2GB/Day,Daily Unlimited,$3.14,$9.42,AR,2,1,AR_2_Daily,AR,P1YR0L0LJ,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,"Movistar [4G], Claro [4G]"
Single,Argentina,Argentina 3GB 30Days,Data in Total,$5.90,$17.70,AR,3,30,AR_3_30,AR,PZEN2IE1G,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,"Movistar [4G], Claro [4G]"
Single,Argentina,Argentina 500MB 7Days,Data in Total,$1.10,$3.30,AR,0,7,AR_0.5_7,AR,PMXFVU33D,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,"Movistar [4G], Claro [4G]"
Single,Argentina,Argentina 500MB/Day,Daily Unlimited,$1.15,$3.45,AR,0,1,AR_0.5_Daily,AR,P597LY81J,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,"Movistar [4G], Claro [4G]"
Single,Armenia,Armenia 100MB 7Days,Data in Total,$0.30,$0.90,AM,0,7,AM_0.1_7,AM,PZBBJD4HG,First Installation,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,Vivacell [5G]
Single,Armenia,Armenia 10GB/Day,Daily Unlimited,$6.71,$20.13,AM,10,1,AM_10_Daily,AM,PVTRR9998,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,384 Kbps,Vivacell [5G]
Single,Armenia,Armenia 1GB/Day,Daily Unlimited,$0.98,$2.94,AM,1,1,AM_1_Daily,AM,P6EAZSBXI,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Vivacell [5G]
Single,Armenia,Armenia 2GB/Day,Daily Unlimited,$1.71,$5.13,AM,2,1,AM_2_Daily,AM,PTMDBPTJN,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Vivacell [5G]
Single,Armenia,Armenia 500MB 7Days,Data in Total,$0.60,$1.80,AM,0,7,AM_0.5_7,AM,PUCP0HJ3Z,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,Vivacell [5G]
Single,Armenia,Armenia 500MB/Day,Daily Unlimited,$0.63,$1.89,AM,0,1,AM_0.5_Daily,AM,PEW7SCYRQ,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,Vivacell [5G]
Single,Australia,Australia 100MB 7Days,Data in Total,$0.30,$0.90,AU,0,7,AU_0.1_7,AU,PGWEQ1CSB,First Installation,180,3G/4G/5G,Data Reloadable for same area within validitity,SG,e-ideas,,"Optus [5G], Telstra [5G]"
Single,Australia,Australia 500MB 7Days,Data in Total,$0.40,$1.20,AU,0,7,AU_0.5_7,AU,PI27MAKKL,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,SG,e-ideas,,"Optus [5G], Telstra [5G]"
Single,Austria,Austria 10GB/Day,Daily Unlimited,$4.10,$12.30,AT,10,1,AT_10_Daily,AT,PUXCXDPTJ,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,FR/NL,orange,512 Kbps,"3 [5G], A1.net [5G]"
Single,Austria,Austria 1GB/Day,Daily Unlimited,$0.54,$1.62,AT,1,1,AT_1_Daily,AT,P4TPF32H7,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,FR/NL,orange,512 Kbps,"3 [5G], A1.net [5G]"
Single,Austria,Austria 2GB/Day,Daily Unlimited,$1.01,$3.03,AT,2,1,AT_2_Daily,AT,PDO2DS0KF,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,FR/NL,orange,500 Kbps,"3 [5G], A1.net [5G]"
Single,Austria,Austria 3GB/Day,Daily Unlimited,$1.42,$4.26,AT,3,1,AT_3_Daily,AT,PVW1KI2YX,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,FR/NL,orange,512 Kbps,"3 [5G], A1.net [5G]"
Single,Austria,Austria 500MB/Day,Daily Unlimited,$0.32,$0.96,AT,0,1,AT_0.5_Daily,AT,PH430V510,First Network Connection,180,3G/4G/5G,Non-reloadable,FR/NL,orange,512 Kbps,"3 [5G], A1.net [5G]"
Single,Azerbaijan,Azerbaijan 100MB 7Days,Data in Total,$0.30,$0.90,AZ,0,7,AZ_0.1_7,AZ,PLYTQ0XIR,First Installation,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,"Bakcell [5G], Azercell [4G]"
Single,Azerbaijan,Azerbaijan 10GB/Day,Daily Unlimited,$9.61,$28.83,AZ,10,1,AZ_10_Daily,AZ,PR7TFQGPH,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,UK,plus,384 Kbps,"Bakcell [5G], Azercell [4G]"
Single,Azerbaijan,Azerbaijan 1GB/Day,Daily Unlimited,$1.64,$4.92,AZ,1,1,AZ_1_Daily,AZ,PHLTKABRR,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,UK,plus,512 Kbps,"Bakcell [5G], Azercell [4G]"
Single,Azerbaijan,Azerbaijan 2GB/Day,Daily Unlimited,$3.00,$9.00,AZ,2,1,AZ_2_Daily,AZ,P3EAMJCRX,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,UK,plus,512 Kbps,"Bakcell [5G], Azercell [4G]"
Single,Azerbaijan,Azerbaijan 500MB 7Days,Data in Total,$0.94,$2.82,AZ,0,7,AZ_0.5_7,AZ,PRC8ZLO48,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK,plus,,"Bakcell [5G], Azercell [4G]"
Single,Azerbaijan,Azerbaijan 500MB/Day,Daily Unlimited,$0.99,$2.97,AZ,0,1,AZ_0.5_Daily,AZ,P9NB0MVOE,First Network Connection,180,3G/4G/5G,Non-reloadable,UK,plus,512 Kbps,"Bakcell [5G], Azercell [4G]"
Single,Bahamas,Bahamas 10GB 30Days,Data in Total,$56.26,$168.78,BS,10,30,BS_10_30,BS,PZJMU5LA1,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,BTC [4G]
Single,Bahamas,Bahamas 1GB 7Days,Data in Total,$6.94,$20.82,BS,1,7,BS_1_7,BS,P5ZAV03DT,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,BTC [4G]
Single,Bahamas,Bahamas 1GB/Day,Daily Unlimited,$6.17,$18.51,BS,1,1,BS_1_Daily,BS,PXHR8FXLL,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,BTC [4G]
Single,Bahamas,Bahamas 20GB 30Days,Data in Total,$107.86,$323.58,BS,20,30,BS_20_30,BS,P3JOVV8MI,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,BTC [4G]
Single,Bahamas,Bahamas 2GB/Day,Daily Unlimited,$10.79,$32.37,BS,2,1,BS_2_Daily,BS,PEFIAE7OF,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,BTC [4G]
Single,Bahamas,Bahamas 3GB 15Days,Data in Total,$18.50,$55.50,BS,3,15,BS_3_15,BS,PDAVLCGIM,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,BTC [4G]
Single,Bahamas,Bahamas 3GB 30Days,Data in Total,$19.65,$58.95,BS,3,30,BS_3_30,BS,PWQAOABDB,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,BTC [4G]
Single,Bahamas,Bahamas 500MB/Day,Daily Unlimited,$4.05,$12.15,BS,0,1,BS_0.5_Daily,BS,PF2URFAT5,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,BTC [4G]
Single,Bahamas,Bahamas 5GB 30Days,Data in Total,$30.83,$92.49,BS,5,30,BS_5_30,BS,PLWOMX7F6,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,BTC [4G]
Single,Bangladesh,Bangladesh 10GB/Day,Daily Unlimited,$5.26,$15.78,BD,10,1,BD_10_Daily,BD,P4LEV9VCS,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,384 Kbps,Banglalink [4G]
Single,Bangladesh,Bangladesh 2GB/Day,Daily Unlimited,$1.38,$4.14,BD,2,1,BD_2_Daily,BD,PQNDWT1QZ,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Banglalink [4G]
Single,Bangladesh,Bangladesh 3GB/Day,Daily Unlimited,$1.92,$5.76,BD,3,1,BD_3_Daily,BD,PL62ZTVSS,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,Banglalink [4G]
Single,Barbados,Barbados 10GB 30Days,Data in Total,$40.90,$122.70,BB,10,30,BB_10_30,BB,PHCT7N07V,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Barbados,Barbados 10GB/Day,Daily Unlimited,$36.42,$109.26,BB,10,1,BB_10_Daily,BB,PIE4DBSN7,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,384 Kbps,FLOW [4G]
Single,Barbados,Barbados 1GB 7Days,Data in Total,$5.04,$15.12,BB,1,7,BB_1_7,BB,PATBRUYGO,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Barbados,Barbados 1GB/Day,Daily Unlimited,$4.76,$14.28,BB,1,1,BB_1_Daily,BB,PCFSAB0KF,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,FLOW [4G]
Single,Barbados,Barbados 20GB 30Days,Data in Total,$75.08,$225.24,BB,20,30,BB_20_30,BB,PKKFL6PNY,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Barbados,Barbados 2GB/Day,Daily Unlimited,$8.96,$26.88,BB,2,1,BB_2_Daily,BB,POXI42MW9,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,FLOW [4G]
Single,Barbados,Barbados 3GB 15Days,Data in Total,$13.45,$40.35,BB,3,15,BB_3_15,BB,P9UHHY3H1,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Barbados,Barbados 3GB 30Days,Data in Total,$14.29,$42.87,BB,3,30,BB_3_30,BB,PXXTRECLK,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Barbados,Barbados 500MB/Day,Daily Unlimited,$2.94,$8.82,BB,0,1,BB_0.5_Daily,BB,PYF9J6RBC,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,FLOW [4G]
Single,Barbados,Barbados 5GB 30Days,Data in Total,$22.41,$67.23,BB,5,30,BB_5_30,BB,PB38F80U9,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,FLOW [4G]
Single,Belarus,Belarus 10GB/Day,Daily Unlimited,$7.04,$21.12,BY,10,1,BY_10_Daily,BY,PHN387OYT,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,384 Kbps,"life:) [4G], MTS [4G], A1 [5G]"
Single,Belarus,Belarus 1GB/Day,Daily Unlimited,$0.92,$2.76,BY,1,1,BY_1_Daily,BY,P4AE7QRFU,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,"life:) [4G], MTS [4G], A1 [5G]"
Single,Belarus,Belarus 2GB/Day,Daily Unlimited,$1.73,$5.19,BY,2,1,BY_2_Daily,BY,PUDRKR4RF,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK,plus,512 Kbps,"life:) [4G], MTS [4G], A1 [5G]"
Single,Belarus,Belarus 3GB 30Days,Data in Total,$2.76,$8.28,BY,3,30,BY_3_30,BY,P7SD3JF4A,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK,plus,,"life:) [4G], MTS [4G], A1 [5G]"
Single,Belarus,Belarus 500MB/Day,Daily Unlimited,$0.56,$1.68,BY,0,1,BY_0.5_Daily,BY,PM6E3QAJT,First Network Connection,180,3G/4G,Non-reloadable,UK,plus,512 Kbps,"life:) [4G], MTS [4G], A1 [5G]"
Single,Belgium,Belgium 2GB/Day,Daily Unlimited,$1.01,$3.03,BE,2,1,BE_2_Daily,BE,P3BGYRU56,First Network Connection,180,3G/4G/5G,Days Reloadable for extending validitity,FR/NL,orange,500 Kbps,"Proximus [5G], Orange [4G], Base [4G]"
Single,Belgium,Belgium 500MB/Day,Daily Unlimited,$0.32,$0.96,BE,0,1,BE_0.5_Daily,BE,P4X5L0Z1B,First Network Connection,180,3G/4G/5G,Non-reloadable,FR/NL,orange,512 Kbps,"Proximus [5G], Orange [4G], Base [4G]"
Single,Belize,Belize 10GB 30Days,Data in Total,$70.30,$210.90,BZ,10,30,BZ_10_30,BZ,P1PAXM6TE,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO,drei.at,,DigiCell [4G]
Single,Belize,Belize 1GB 7Days,Data in Total,$8.67,$26.01,BZ,1,7,BZ_1_7,BZ,PCB5J6S8Q,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO,drei.at,,DigiCell [4G]
Single,Belize,Belize 1GB/Day,Daily Unlimited,$7.70,$23.10,BZ,1,1,BZ_1_Daily,BZ,PXQOTGCLO,First Network Connection,180,3G/4G,Days Reloadable for extending validitity,UK/NO,drei.at,384 Kbps,DigiCell [4G]
Single,Belize,Belize 20GB 30Days,Data in Total,$129.05,$387.15,BZ,20,30,BZ_20_30,BZ,PUK4NO827,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,UK/NO,drei.at,,DigiCell [4G]
